NumCidades,NumAbelhas,NumFormigas,CustoABC,TempoABC,CustoACO,TempoACO
20,70,90,4.079724,5.7804,4.083954,61.5318
20,80,10,4.079724,6.3997,4.104464,6.7970
20,80,20,4.079724,6.3501,4.100234,13.6239
20,80,30,4.079724,6.5698,4.083954,25.8873
20,80,40,4.079724,8.1659,4.083954,34.8563
20,80,50,4.079724,8.5570,4.083954,54.8110
20,80,60,4.079724,15.2978,4.083954,53.7970
20,80,70,4.079724,6.4414,4.083954,88.5922
20,80,80,4.079724,13.5538,4.083954,123.6930
20,80,90,4.079724,15.3489,4.083954,115.8505
20,90,10,4.079724,8.6501,4.158324,7.0544
20,90,20,4.079724,8.9055,4.100234,29.2980
20,90,30,4.079724,16.6614,4.083954,46.7470
20,90,40,4.079724,8.9867,4.079724,29.5107
20,90,50,4.079724,7.3732,4.083954,33.9428
20,90,60,4.079724,7.5019,4.083954,40.9698
20,90,70,4.079724,7.2366,4.079724,47.7761
20,90,80,4.079724,7.3456,4.083954,53.0684
20,90,90,4.079724,7.3390,4.083954,108.2057
25,10,10,5.002526,0.8608,4.756333,9.0560
25,10,20,5.002526,0.8601,4.753721,17.6691
25,10,30,5.002526,0.8557,4.753721,26.5975
25,10,40,5.002526,0.8731,4.753721,35.3135
25,10,50,5.002526,0.8742,4.753721,44.6527
25,10,60,5.002526,0.8724,4.753721,54.0679
25,10,70,5.002526,0.8513,4.753721,61.7862
25,10,80,5.002526,0.8462,4.753721,70.6120
25,10,90,5.002526,0.8611,4.753721,79.2523
25,20,10,4.906592,1.6934,4.756333,9.0117
25,20,20,4.906592,1.7143,4.753721,17.7789
25,20,30,4.906592,1.6918,4.753721,26.5413
25,20,40,4.906592,1.6895,4.753721,36.3915
25,20,50,4.906592,1.6829,4.753721,44.8060
25,20,60,4.906592,1.7007,4.753721,53.1006
25,20,70,4.906592,1.7373,4.753721,62.5880
25,20,80,4.906592,1.6820,4.753721,70.4906
25,20,90,4.906592,1.6944,4.753721,80.5758
25,30,10,4.756333,2.5766,4.756333,8.9580
25,30,20,4.756333,2.4981,4.756333,17.7307
25,30,30,4.756333,2.5364,4.753721,27.4251
25,30,40,4.756333,2.6038,4.753721,36.1973
25,30,50,4.756333,2.6036,4.753721,48.9022
25,30,60,4.756333,2.5512,4.753721,60.3170
